Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price,image_url
SeaSonic PRIME PX-2200 ATX 3 (2024) (0),TypeATX,Efficiency Rating80+ Platinum,Wattage2200 W,ModularFull,ColorBlack,(0),€575.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/c289fb1aaf02ceb989aaafba29c8dcb0.256p.jpg
be quiet! Pure Power 13 M (12),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(12),€166.49Add,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg
Corsair RM1000e (2025) (6),TypeATX,Efficiency Rating,Wattage1000 W,ModularFull,ColorWhite,(6),€162.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/9fc6cb597b8f13a08550ae7d3eba25bf.256p.jpg
be quiet! Pure Power 13 M (5),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(5),€123.78Add,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg
Super Flower Leadex Titanium (0),TypeATX,Efficiency Rating80+ Titanium,Wattage2800 W,ModularFull,ColorBlack,(0),Add,https://m.media-amazon.com/images/I/51EDuV+Cx3L.jpg
Corsair CX650M (2021) (34),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularSemi,ColorBlack,(34),Add,https://cdna.pcpartpicker.com/static/forever/images/product/cd1c62429bd8d83e6d8dc273f0cc179c.256p.jpg
Thermaltake Toughpower GX2 (29),TypeATX,Efficiency Rating80+ Gold,Wattage600 W,ModularNo,ColorBlack,(29),Add,https://cdna.pcpartpicker.com/static/forever/images/product/56f77032e78c9af99041786b5196fe91.256p.jpg
MSI MAG A650GLS PCIE5 (2),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularFull,ColorBlack,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/b3f5ce174d631594ae9f8f2dc3b291d1.256p.jpg
Corsair RM850x (2021) (221),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(221),€184.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/4f19c6453ce4ebe67091e6d9735f3a19.256p.jpg
Silverstone HELA (0),TypeATX,Efficiency Rating,Wattage2050 W,ModularFull,ColorBlack / White,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/9c9639e52f92dce6daf30dc4423b1cda.256p.jpg
be quiet! Pure Power 13 M (7),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(7),€137.96Add,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg
Corsair RM850e (2025) (4),TypeATX,Efficiency Rating,Wattage850 W,ModularFull,ColorWhite,(4),€139.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/7d68ac724aae3cabe95f98de8df643ae.256p.jpg
Thermaltake Smart (47),TypeATX,Efficiency Rating80+,Wattage600 W,ModularNo,Color,(47),Add,https://images-eu.ssl-images-amazon.com/images/I/51Ih1TB6nFL.jpg
MSI MAG A750BN PCIE5 (5),TypeATX,Efficiency Rating80+ Bronze,Wattage750 W,ModularNo,ColorBlack,(5),€69.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/0e6a8954c4ddd51ffeaac409a3b2f9f7.256p.jpg
Cooler Master MWE Gold 850 - V2 (27),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(27),€206.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/01c5294aaa030cd889e3923906b92a10.256p.jpg
MSI MPG A850GS PCIE5 (3),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(3),€133.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/e30f8fbb357a16391b3a15586b9aaec4.256p.jpg
MSI MAG A650GL (27),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularFull,ColorBlack,(27),€92.24Add,https://cdna.pcpartpicker.com/static/forever/images/product/9fd701005a49816e85072d6ed79c2951.256p.jpg
Lian Li EDGE (14),TypeATX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorWhite,(14),€170.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/0f7d3cf44d7b3628c00c65f3f476d52e.256p.jpg
Corsair HX1200i (2025) (2),TypeATX,Efficiency Rating80+ Platinum,Wattage1200 W,ModularFull,ColorBlack,(2),€274.90Add,https://m.media-amazon.com/images/I/41639Z5b2tL.jpg
Montech CENTURY II (15),TypeATX,Efficiency Rating80+ Gold,Wattage1050 W,ModularFull,ColorBlack,(15),€123.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/c04beca6c6820e5b4fe612ab1850b8cd.256p.jpg
Lian Li EDGE (5),TypeATX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorBlack,(5),€203.04Add,https://cdna.pcpartpicker.com/static/forever/images/product/2b6505f267e91c686ae87e596ed59260.256p.jpg
Corsair RM750e (2025) (5),TypeATX,Efficiency Rating,Wattage750 W,ModularFull,ColorWhite,(5),€119.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/3b9e84b0c082af2c8d1beed2698c3a69.256p.jpg
Cooler Master V850 SFX GOLD (54),TypeSFX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(54),€160.71Add,https://cdna.pcpartpicker.com/static/forever/images/product/bd2577c6ecabce9f78526a09410351e0.256p.jpg
Apevia Galaxy (11),TypeATX,Efficiency Rating80+ Gold,Wattage650 W,ModularSemi,ColorBlack,(11),Add,https://m.media-amazon.com/images/I/41tTcSFPOyS.jpg
SeaSonic Focus GX V4 ATX 3 (2024) (9),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(9),€142.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/5595266ca881fcc6e5296037a601f47d.256p.jpg
Apevia CAPTAIN (0),TypeATX,Efficiency Rating,Wattage550 W,ModularNo,ColorBlack,(0),Add,https://m.media-amazon.com/images/I/514OgOS3T-L.jpg
Corsair CX (2023) (9),TypeATX,Efficiency Rating80+ Bronze,Wattage550 W,ModularNo,ColorBlack,(9),€56.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/5c9986f2ca555182c65ca3541ec840ed.256p.jpg
Corsair HX1500i (2025) (1),TypeATX,Efficiency Rating80+ Platinum,Wattage1500 W,ModularFull,ColorBlack,(1),€285.69Add,https://m.media-amazon.com/images/I/419zV-+pQ+L.jpg
be quiet! Dark Power 13 (10),TypeATX,Efficiency Rating80+ Titanium,Wattage1000 W,ModularFull,ColorBlack,(10),€294.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/7fa3368565fa6e4e0196112cf171e1b5.256p.jpg
be quiet! Pure Power 12 M (37),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(37),€149.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/58f82e34238ad2132a69775300daa503.256p.jpg
Corsair RM1000x (34),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,Color,(34),Add,https://cdna.pcpartpicker.com/static/forever/images/product/49b15c4f90ae64a72cea7148d88b545e.256p.jpg
Lian Li EDGE (9),TypeATX,Efficiency Rating80+ Platinum,Wattage1300 W,ModularFull,ColorWhite,(9),€252.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/e92f825ed1d88b0cb0fac7933b6d853c.256p.jpg
