Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price,image_url
TRYX PANORAMA SE ARGB (7),Fan RPM500 - 1850 RPM,Noise Level,ColorWhite,Radiator Size360 mm,(7),€299.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/15c1e29ddca56341b5ae08d55bd43b89.256p.jpg
Lian Li Galahad II Trinity SL-INF (27),Fan RPM2100 RPM,Noise Level29 dB,ColorBlack,Radiator Size360 mm,(27),€178.93Add,https://cdna.pcpartpicker.com/static/forever/images/product/9a5bcf4f476d82ad6aff9287d2cb0b3a.256p.jpg
Noctua NH-L9x65 chromax.black (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBlack,Radiator Size,(3),€69.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/6082032e0eb29f8eed91a12a4f976321.256p.jpg
Noctua NH-L9A-AM5 CHROMAX.BLACK (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBlack,Radiator Size,(3),€59.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/7da2ce71b33904d0f379f9398d4515d7.256p.jpg
Thermalright Assassin Spirit 120 EVO (21),Fan RPM2000 RPM,Noise Level28.2 dB,ColorBlack,Radiator Size,(21),€23.66Add,https://m.media-amazon.com/images/I/41595fJKAOL.jpg
Corsair NAUTILUS 360 RS (4),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size360 mm,(4),€114.19Add,https://cdna.pcpartpicker.com/static/forever/images/product/064aaf809c733638ac91fac1bc46dc00.256p.jpg
Asus ROG Ryuo IV SLC 360 ARGB (0),Fan RPM800 - 2650 RPM,Noise Level39.6 dB,ColorBlack,Radiator Size360 mm,(0),€399.75Add,https://cdna.pcpartpicker.com/static/forever/images/product/ea53c568adee3b4cfd95df87cd04c30b.256p.jpg
ID-COOLING FROZN A620 PRO SE (10),Fan RPM300 - 2000 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size,(10),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c4c978ad9ecf59156eab170fbfbabe21.256p.jpg
Thermalright Frozen Notte ARGB (30),Fan RPM2000 RPM,Noise Level27.7 dB,ColorBlack,Radiator Size360 mm,(30),Add,https://cdna.pcpartpicker.com/static/forever/images/product/315dec7805c5f01538f5748620fddffa.256p.jpg
Thermalright Aqua Elite V3 (21),Fan RPM1500 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size360 mm,(21),Add,https://m.media-amazon.com/images/I/31dtrhu3x8L.jpg
MSI MAG CORELIQUID A13 (4),Fan RPM,Noise Level,ColorBlack,Radiator Size240 mm,(4),€55.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/09d0a7acefcd3455ed55679297421d01.256p.jpg
be quiet! Pure Rock Pro 3 (3),Fan RPM2000 RPM,Noise Level14 - 34.8 dB,ColorBlack,Radiator Size,(3),€54.67Add,https://cdna.pcpartpicker.com/static/forever/images/product/adc1a4087a4dd593fe49b79e6373bfd4.256p.jpg
Thermalright AXP90-X47 (9),Fan RPM2700 RPM,Noise Level22.4 dB,ColorBlack,Radiator Size,(9),Add,https://m.media-amazon.com/images/I/41vcBqu9GoS.jpg
Lian Li Hydroshift LCD 360S (8),Fan RPM200 - 2500 RPM,Noise Level29.8 dB,ColorBlack,Radiator Size360 mm,(8),€188.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/8b28f665714d824f67a7201bc8a22500.256p.jpg
Intel E97379-001 (38),Fan RPM1200 - 2800 RPM,Noise Level22 dB,ColorSilver / Black,Radiator Size,(38),Add,https://cdna.pcpartpicker.com/static/forever/images/product/dbeab7d9b737c8904b1b75679b3db3a6.256p.jpg
ARCTIC Liquid Freezer III Pro (2),Fan RPM400 - 2500 RPM,Noise Level,ColorBlack,Radiator Size420 mm,(2),€106.49Add,https://m.media-amazon.com/images/I/31PUCe1FXnL.jpg
NZXT Kraken Elite RGB (2025) (2),Fan RPM500 - 2000 RPM,Noise Level34.5 dB,ColorBlack,Radiator Size420 mm,(2),€344.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/352d14da4f6e847989132472aa4dc95f.256p.jpg
Thermalright Assassin X Refined SE ARGB (7),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(7),€22.80Add,https://m.media-amazon.com/images/I/41NnYMvz2hL.jpg
Deepcool AK400 (33),Fan RPM500 - 1850 RPM,Noise Level29 dB,ColorBlack / Silver,Radiator Size,(33),€39.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/f11e54d5a812379d28e34bc51143332b.256p.jpg
Noctua NH-D15 G2 chromax.black (0),Fan RPM,Noise Level0 - 24.8 dB,ColorBlack,Radiator Size,(0),€159.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/3cbf3ee92fcdc68aa1049b28ccbdb850.256p.jpg
be quiet! Silent Loop 3 (5),Fan RPM2500 RPM,Noise Level19.8 - 38.8 dB,ColorBlack,Radiator Size360 mm,(5),€151.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/8a277ab7166d97b45d51dcd463ebdf05.256p.jpg
Corsair iCUE LINK TITAN 360 RX RGB (9),Fan RPM300 - 2100 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(9),€182.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/6254fe41ae3b29682baddb5bc3088cab.256p.jpg
ARCTIC Alpine 23 (1),Fan RPM100 - 2000 RPM,Noise Level,ColorWhite / Black,Radiator Size,(1),€12.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/3f4e2db365667ee5ddbdb82520762e25.256p.jpg
Thermalright Assassin X SE (6),Fan RPM2200 RPM,Noise Level23.85 dB,ColorBlack / Silver,Radiator Size,(6),€27.87Add,https://m.media-amazon.com/images/I/41aQSKl8SfL.jpg
Thermalright AQUA ELITE ARGB V4 (7),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size360 mm,(7),Add,https://m.media-amazon.com/images/I/31q+8WFRGXL.jpg
Noctua NH-D9L (35),Fan RPM400 - 2000 RPM,Noise Level16.3 - 22.8 dB,Color,Radiator Size,(35),€59.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/64d63da64b2f8be28775078a8f8d550a.256p.jpg
