Name,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Rating,Price,image_url
Gigabyte B850 GAMING X WIFI6E (6),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorGray / Black,(6),€209.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/62258989025bb9dd8fb1abaa606d1444.256p.jpg
Asus TUF GAMING B550-PLUS WIFI II (26),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack / Gray,(26),Out of stock€153.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/6b136eab8dcdd8f78e02da5a09b96795.256p.jpg
Asus ROG STRIX X870E-E GAMING WIFI (13),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(13),€482.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/e6ec6fd92a901825fcbcc79fea85c79f.256p.jpg
ASRock B850I Lightning WiFi (18),Socket / CPUAM5,Form FactorMini ITX,Memory Max128 GB,Memory Slots2,ColorBlack,(18),€204.90Add,https://m.media-amazon.com/images/I/41emP7K0hIL.jpg
ASRock B650M Pro RS WiFi (82),Socket / CPUAM5,Form FactorMicro ATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(82),€291.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg
Gigabyte X870 AORUS ELITE WIFI7 ICE (21),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite,(21),€278.82Add,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg
MSI MPG B550 GAMING PLUS (89),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack,(89),€119.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/607f7ca77131a0bf7dc6b75617795203.256p.jpg
ASRock B650M Pro RS (23),Socket / CPUAM5,Form FactorMicro ATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(23),€131.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/4dc751a89c74d335cae25cbc50b4c67e.256p.jpg
Asus ROG STRIX X870-A GAMING WIFI (14),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite,(14),€369.55Add,https://cdna.pcpartpicker.com/static/forever/images/product/8759f89d039f01404d65dcb994629292.256p.jpg
Asus ROG STRIX B850-I GAMING WIFI (10),Socket / CPUAM5,Form FactorMini ITX,Memory Max96 GB,Memory Slots2,ColorBlack,(10),€302.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/573b392b2d5a728c3a15f84dce93449b.256p.jpg
