Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price,image_url
Corsair Vengeance RGB 16 GB (2),SpeedDDR5-5200,Modules2 x 8GB,Price / GB€15.305,ColorBlack / Gray,First Word Latency15.385 ns,CAS Latency40,(2),€244.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/9c711c2e20ef4adac880e44fe9fc13fe.256p.jpg
G.Skill Ripjaws V 16 GB (237),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€9.869,ColorBlack,First Word Latency10 ns,CAS Latency16,(237),€157.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg
Crucial Pro 64 GB (2),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€13.808,ColorBlack,First Word Latency13.333 ns,CAS Latency40,(2),€883.72Add,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg
G.Skill Trident Z5 Neo RGB 64 GB (52),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€12.607,ColorBlack / Silver,First Word Latency10 ns,CAS Latency30,(52),€806.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB (94),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.594,ColorWhite,First Word Latency10 ns,CAS Latency30,(94),€595.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
Kingston FURY Beast 16 GB (23),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€8.906,ColorBlack,First Word Latency10 ns,CAS Latency16,(23),€142.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/f5b1674c2d725945298cd1f11d305fb7.256p.jpg
Crucial Pro Overclocking 32 GB (1),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€16.431,ColorBlack,First Word Latency10 ns,CAS Latency32,(1),€525.79Add,https://m.media-amazon.com/images/I/41lunNC6OYL.jpg
Crucial Classic 16 GB (2),SpeedDDR5-5600,Modules2 x 8GB,Price / GB,ColorBlack,First Word Latency16.429 ns,CAS Latency46,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/b28dc47f2e7061f2dba49b2b5bd6d335.256p.jpg
Patriot Viper Elite 5 32 GB (0),SpeedDDR5-6000,Modules2 x 16GB,Price / GB,ColorWhite,First Word Latency10 ns,CAS Latency30,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/57f82fbdb9d5b94c4a14be5f44f30427.256p.jpg
Kingston FURY Beast 8 GB (0),SpeedDDR4-3200,Modules1 x 8GB,Price / GB€9.119,ColorBlack,First Word Latency10 ns,CAS Latency16,(0),€72.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/cbff70f75b5d67c6c28fce5086628059.256p.jpg
Crucial CT16G48C40U5 16 GB (1),SpeedDDR5-4800,Modules1 x 16GB,Price / GB€15.738,ColorBlack,First Word Latency16.667 ns,CAS Latency40,(1),€251.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/1c689a15a147abb3f1f1a6f4d05a43c2.256p.jpg
TEAMGROUP T-Create Expert 32 GB (120),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€17.978,ColorBlack,First Word Latency10 ns,CAS Latency30,(120),€575.30Add,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
G.Skill Ripjaws V 32 GB (138),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€9.831,ColorBlack,First Word Latency10 ns,CAS Latency16,(138),€314.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg
Corsair Vengeance LPX 16 GB (22),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€7.179,ColorBlack,First Word Latency10 ns,CAS Latency16,(22),€114.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Crucial CT2K8G4DFRA32A 16 GB (2),SpeedDDR4-3200,Modules2 x 8GB,Price / GB,ColorGreen,First Word Latency13.75 ns,CAS Latency22,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/06c2821b511af7881d5766ee7c640e5f.256p.jpg
TEAMGROUP T-Force Delta RGB 16 GB (1),SpeedDDR5-6000,Modules2 x 8GB,Price / GB,ColorWhite,First Word Latency12.667 ns,CAS Latency38,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg
Corsair Vengeance LPX 32 GB (12),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€9.335,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency18,(12),€298.72Add,https://cdna.pcpartpicker.com/static/forever/images/product/c2c7aadc344828dd821f14344606b597.256p.jpg
Corsair Vengeance LPX 16 GB (4),SpeedDDR4-2666,Modules2 x 8GB,Price / GB€9.874,ColorBlack,First Word Latency12.003 ns,CAS Latency16,(4),€157.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/cde10e535554911bab94e6d19b91226e.256p.jpg
