Name,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Rating,Price,image_url
Intel Core i9-13900K (67),Core Count24,Performance Core Clock3 GHz,Performance Core Boost Clock5.8 GHz,MicroarchitectureRaptor Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(67),€470.34Add,https://cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.256p.jpg
Intel Core i5-13600K (110),Core Count14,Performance Core Clock3.5 GHz,Performance Core Boost Clock5.1 GHz,MicroarchitectureRaptor Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(110),€280.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg
Intel Core i3-6100 (159),Core Count2,Performance Core Clock3.7 GHz,Performance Core Boost Clock,MicroarchitectureSkylake,TDP51 W,Integrated GraphicsIntel HD Graphics 530,(159),€68.87Add,https://m.media-amazon.com/images/I/51m7931xzhL.jpg
Intel Core i3-10100F (26),Core Count4,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.3 GHz,MicroarchitectureComet Lake,TDP65 W,Integrated GraphicsNone,(26),€81.38Add,https://cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg
AMD Threadripper 3970X (8),Core Count32,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.5 GHz,MicroarchitectureZen 2,TDP280 W,Integrated GraphicsNone,(8),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f2cacb6e0f6003d798989357654aff3c.256p.jpg
Intel Core i7-10700K (104),Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock5.1 GHz,MicroarchitectureComet Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 630,(104),€425.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/6a40f9732bef504af112c33a980482b2.256p.jpg
Intel Core i7-6700K (508),Core Count4,Performance Core Clock4 GHz,Performance Core Boost Clock4.2 GHz,MicroarchitectureSkylake,TDP91 W,Integrated GraphicsIntel HD Graphics 530,(508),€225.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/614a9c530cce56d1fafbc5ba97920ab1.256p.jpg
Intel Core i5-9400F (48),Core Count6,Performance Core Clock2.9 GHz,Performance Core Boost Clock4.1 GHz,MicroarchitectureCoffee Lake Refresh,TDP65 W,Integrated GraphicsNone,(48),€155.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/3b2d769c28b9890779f87a7568887dfc.256p.jpg
AMD Ryzen 7 3800X (139),Core Count8,Performance Core Clock3.9 GHz,Performance Core Boost Clock4.5 GHz,MicroarchitectureZen 2,TDP105 W,Integrated GraphicsNone,(139),Add,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg
Intel Core i5-11400F (24),Core Count6,Performance Core Clock2.6 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureRocket Lake,TDP65 W,Integrated GraphicsNone,(24),€166.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/1cd42b90d913aa4fe2338eb376fd3e2d.256p.jpg
Intel Core i5-12400 (38),Core Count6,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureAlder Lake,TDP65 W,Integrated GraphicsIntel UHD Graphics 730,(38),€192.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/331bcd7f5044608c8b4e0a2437219229.256p.jpg
Intel Core i5-14400 (2),Core Count10,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureRaptor Lake Refresh,TDP65 W,Integrated GraphicsIntel UHD Graphics 730,(2),€256.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/be9f67b5c1dc033e0373e28beba6a220.256p.jpg
AMD Ryzen 5 1600 (14nm) (354),Core Count6,Performance Core Clock3.2 GHz,Performance Core Boost Clock3.6 GHz,MicroarchitectureZen,TDP65 W,Integrated GraphicsNone,(354),€184.78Add,https://cdna.pcpartpicker.com/static/forever/images/product/71be15e31e700684bc9c8fb697bd4f11.256p.jpg
AMD Ryzen 9 7900 (19),Core Count12,Performance Core Clock3.7 GHz,Performance Core Boost Clock5.4 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon,(19),€304.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/119ef93ef95a60950418031082149c5b.256p.jpg
