Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price,image_url
Kingston KC3000 (40),Capacity2.048 TB,Price / GB€0.146,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(40),€299.00Add,https://m.media-amazon.com/images/I/31p3IUZV+ZL.jpg
Western Digital AV-GP (0),Capacity250 GB,Price / GB€0.198,Type5400 RPM,Cache16 MB,"Form Factor3.5""",InterfaceSATA 3.0 Gb/s,(0),€49.60Add,https://m.media-amazon.com/images/I/51yl2DEVzkL.jpg
Western Digital Blue SN580 (18),Capacity2 TB,Price / GB€0.139,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(18),€278.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/e919a2d3600ffaf5d00b64b5d80c2c3b.256p.jpg
Kingston A400 (127),Capacity240 GB,Price / GB€0.225,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(127),€53.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/97e2bd828644767c8a80b71f8cb14743.256p.jpg
Western Digital Blue (35),Capacity2 TB,Price / GB€0.043,Type7200 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(35),€86.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
Crucial T500 (15),Capacity1 TB,Price / GB€0.192,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(15),€191.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg
Samsung 970 Evo (323),Capacity1 TB,Price / GB,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(323),Add,https://cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg
Crucial P310 (2),Capacity4 TB,Price / GB€0.111,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(2),€445.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/2691f40daa1dad84937299288269d9e2.256p.jpg
Patriot P400 Lite (5),Capacity2 TB,Price / GB€0.120,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(5),€239.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/0aaf750acd7697a2e0fac812b6ba7770.256p.jpg
Crucial P3 (60),Capacity1 TB,Price / GB€0.192,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(60),€191.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/8c5042086b6c6ab10aca89e29fa85f08.256p.jpg
Samsung 990 EVO (11),Capacity1 TB,Price / GB€0.157,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(11),€156.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/a00cf1a6938d19a3965c362d1c715c56.256p.jpg
Seagate Barracuda Compute (55),Capacity2 TB,Price / GB,Type7200 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(55),Add,https://cdna.pcpartpicker.com/static/forever/images/product/64cf1a6fe313be20a6e6a146bfb54a2c.256p.jpg
PNY CS900 (13),Capacity1 TB,Price / GB€0.103,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(13),€103.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/1a0e1f64fd9de50cc37c9373d7bb48d6.256p.jpg
Western Digital WD_BLACK SN8100 (1),Capacity4 TB,Price / GB€0.275,TypeSSD,Cache4096 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(1),€1099.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg
Lexar NM620 (7),Capacity1 TB,Price / GB€0.105,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(7),€104.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/8618752d44f122e9b16d057538903ec4.256p.jpg
Western Digital WD_BLACK SN8100 (0),Capacity8 TB,Price / GB€0.262,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(0),€2099.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/d80534121073b9abba87fdef3117873e.256p.jpg
SK Hynix Platinum P41 (72),Capacity2 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(72),Add,https://m.media-amazon.com/images/I/31TAUSyRkcL.jpg
Samsung 870 QVO (4),Capacity8 TB,Price / GB€0.124,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(4),€993.63Add,https://cdna.pcpartpicker.com/static/forever/images/product/29b838814626cac9b060a2d2c0a293cd.256p.jpg
TEAMGROUP MP44L (32),Capacity1 TB,Price / GB€0.152,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(32),€152.30Add,https://cdna.pcpartpicker.com/static/forever/images/product/b7e87809a48525a1340938718110fecc.256p.jpg
Seagate SuperSpeed HDD (6),Capacity1 TB,Price / GB,TypeHybrid,Cache64 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(6),Add,https://cdna.pcpartpicker.com/static/forever/images/product/a0ef92b25c25a567557dbae1cb3ebed0.256p.jpg
Western Digital WD Green SN3000 (2),Capacity2 TB,Price / GB€0.111,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(2),€221.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/d07357005e6700c072b262a306ece4f4.256p.jpg
Lexar NM790 (27),Capacity2 TB,Price / GB€0.141,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(27),€282.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/496a72c7b0963d48aff4970b5407c89f.256p.jpg
Mushkin Gamma (0),Capacity8 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(0),Add,https://m.media-amazon.com/images/I/31cp25MypNS.jpg
Silicon Power UD90 (6),Capacity4 TB,Price / GB€0.147,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(6),€589.99Add,https://m.media-amazon.com/images/I/31Jz10dwCWL.jpg
Western Digital Black SN770 (119),Capacity2 TB,Price / GB€0.140,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(119),€280.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/5ab53f4ea70381a66686c52d0b6e05a6.256p.jpg
Kingston NV2 (20),Capacity500 GB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(20),Add,https://cdna.pcpartpicker.com/static/forever/images/product/b95d0c7234714c4d7bb0f246c23cd3b9.256p.jpg
Crucial T500 (29),Capacity2 TB,Price / GB€0.124,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(29),€247.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fd5aee2fd8854d15ef3c81dcd9599f5.256p.jpg
Crucial P310 w/ Acronis Data Recovery (0),Capacity1 TB,Price / GB€0.135,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(0),€134.99Add,https://m.media-amazon.com/images/I/31s-wKnYDvL.jpg
Seagate BarraCuda (1021),Capacity1 TB,Price / GB€0.108,Type7200 RPM,Cache64 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(1021),€107.95Add,https://m.media-amazon.com/images/I/51jzvyPoV6L.jpg
